,Frequency,TransmitterDistance,MeanAmplitude,Lat,Lon
107,88.0,43.997,-31.6111111111,1.385351,103.745053
108,88.3,4.376,-27.1320754717,1.385351,103.745053
109,88.9,4.376,9.35185185185,1.385351,103.745053
110,89.7,4.434,-4.67272727273,1.385351,103.745053
111,90.0,36.687,-28.6,1.385351,103.745053
112,90.1,32.8,-24.8727272727,1.385351,103.745053
113,90.5,4.434,-6.83636363636,1.385351,103.745053
114,90.9,50.412,-27.6545454545,1.385351,103.745053
115,91.3,4.376,-18.7272727273,1.385351,103.745053
116,91.7,41.208,-27.1636363636,1.385351,103.745053
117,92.0,4.376,-20.0727272727,1.385351,103.745053
118,92.4,4.434,1.54545454545,1.385351,103.745053
119,92.8,32.8,-22.5818181818,1.385351,103.745053
120,93.3,4.434,-4.74545454545,1.385351,103.745053
121,93.8,4.434,3.29090909091,1.385351,103.745053
122,94.2,4.434,-12.8,1.385351,103.745053
123,94.6,32.8,-27.4727272727,1.385351,103.745053
124,95.0,4.434,-6.58181818182,1.385351,103.745053
125,95.4,32.8,-21.0909090909,1.385351,103.745053
126,95.8,4.434,-11.8545454545,1.385351,103.745053
127,96.3,4.434,-23.1090909091,1.385351,103.745053
128,96.8,4.434,-4.61818181818,1.385351,103.745053
129,97.2,4.434,-0.636363636364,1.385351,103.745053
130,97.6,32.8,-27.9818181818,1.385351,103.745053
131,98.0,4.376,-27.6909090909,1.385351,103.745053
132,98.4,32.8,-32.9259259259,1.385351,103.745053
133,98.7,4.434,-2.81818181818,1.385351,103.745053
134,99.1,32.8,-29.3333333333,1.385351,103.745053
135,99.5,4.434,-16.0,1.385351,103.745053
136,99.9,32.8,-11.9454545455,1.385351,103.745053
137,100.3,4.376,-8.61818181818,1.385351,103.745053
138,100.7,43.997,-37.5,1.385351,103.745053
139,101.1,32.8,-27.6909090909,1.385351,103.745053
140,101.2,96.204,-38.125,1.385351,103.745053
141,101.4,9.359,-23.1636363636,1.385351,103.745053
142,101.9,32.8,-27.462962963,1.385351,103.745053
143,102.5,32.8,-30.7924528302,1.385351,103.745053
144,102.9,32.8,-23.5185185185,1.385351,103.745053
145,103.7,32.8,-35.08,1.385351,103.745053
146,104.1,32.8,-26.3333333333,1.385351,103.745053
147,104.5,32.8,-27.9090909091,1.385351,103.745053
148,104.7,43.997,-40.0,1.385351,103.745053
149,104.9,32.8,-25.8679245283,1.385351,103.745053
150,105.3,12.134,-36.7083333333,1.385351,103.745053
151,105.5,36.687,-38.0,1.385351,103.745053
152,105.7,32.8,-36.3777777778,1.385351,103.745053
153,106.0,43.997,-35.5555555556,1.385351,103.745053
154,106.2,32.8,-28.82,1.385351,103.745053
155,106.5,43.997,-37.0,1.385351,103.745053
156,106.7,32.8,-27.5454545455,1.385351,103.745053
157,107.0,30.807,-38.0555555556,1.385351,103.745053
158,107.5,32.8,-26.1836734694,1.385351,103.745053
159,107.7,43.997,-33.0,1.385351,103.745053
160,87.8,45.874,-26.0,1.350483,103.872321
161,88.3,11.842,-21.0,1.350483,103.872321
162,88.9,11.842,-22.6666666667,1.350483,103.872321
163,89.7,11.802,-14.3333333333,1.350483,103.872321
164,90.0,26.537,-39.0,1.350483,103.872321
165,90.1,45.874,-37.5,1.350483,103.872321
166,90.5,11.802,-17.5,1.350483,103.872321
167,91.3,11.842,-14.0,1.350483,103.872321
168,92.0,11.842,-9.5,1.350483,103.872321
169,92.4,11.802,-14.5,1.350483,103.872321
170,92.8,45.874,-31.0,1.350483,103.872321
171,93.3,11.802,-22.5,1.350483,103.872321
172,93.8,11.802,-13.0,1.350483,103.872321
173,94.2,11.802,-16.0,1.350483,103.872321
174,94.6,45.874,-34.5,1.350483,103.872321
175,95.0,11.802,-17.5,1.350483,103.872321
176,95.4,45.874,-32.5,1.350483,103.872321
177,95.8,11.802,-13.5,1.350483,103.872321
178,96.8,11.802,-20.0,1.350483,103.872321
179,97.2,11.802,-14.5,1.350483,103.872321
180,97.6,45.874,-36.0,1.350483,103.872321
181,98.0,11.842,-17.0,1.350483,103.872321
182,98.7,11.802,-17.0,1.350483,103.872321
183,99.1,45.874,-34.5,1.350483,103.872321
184,99.5,11.802,-17.0,1.350483,103.872321
185,99.9,45.874,-17.5,1.350483,103.872321
186,100.3,11.842,-10.5,1.350483,103.872321
187,101.1,45.874,-37.5,1.350483,103.872321
188,101.9,45.874,-34.0,1.350483,103.872321
189,102.9,45.874,-37.0,1.350483,103.872321
190,103.7,45.874,-35.0,1.350483,103.872321
191,104.5,45.874,-33.0,1.350483,103.872321
192,104.9,45.874,-35.0,1.350483,103.872321
193,105.7,45.874,-29.5,1.350483,103.872321
194,106.0,31.206,-30.0,1.350483,103.872321
195,106.2,45.874,-36.0,1.350483,103.872321
196,106.7,45.874,-30.0,1.350483,103.872321
197,107.0,22.397,-32.5,1.350483,103.872321
198,107.5,45.874,-32.5,1.350483,103.872321
199,87.8,51.704,-31.0,1.371094,103.949197
200,88.3,20.501,-35.3333333333,1.371094,103.949197
201,88.9,20.501,-15.0,1.371094,103.949197
202,89.7,20.465,-28.3333333333,1.371094,103.949197
203,90.1,51.704,-31.6666666667,1.371094,103.949197
204,90.5,20.465,-26.3333333333,1.371094,103.949197
205,91.3,20.501,-12.6666666667,1.371094,103.949197
206,92.0,20.501,-16.6666666667,1.371094,103.949197
207,92.4,20.465,-21.0,1.371094,103.949197
208,92.8,51.704,-28.0,1.371094,103.949197
209,93.3,20.465,-27.0,1.371094,103.949197
210,93.8,20.465,-26.3333333333,1.371094,103.949197
211,94.2,20.465,-29.3333333333,1.371094,103.949197
212,94.6,51.704,-30.0,1.371094,103.949197
213,95.0,20.465,-31.0,1.371094,103.949197
214,95.8,20.465,-28.6666666667,1.371094,103.949197
215,96.8,20.465,-20.0,1.371094,103.949197
216,97.2,20.465,-30.3333333333,1.371094,103.949197
217,98.0,20.501,-35.0,1.371094,103.949197
218,98.4,51.704,-39.0,1.371094,103.949197
219,98.7,20.465,-34.0,1.371094,103.949197
220,99.5,20.465,-21.0,1.371094,103.949197
221,99.9,51.704,-23.5,1.371094,103.949197
222,100.3,20.501,-20.5,1.371094,103.949197
223,100.7,28.724,-29.5,1.371094,103.949197
224,101.9,51.704,-37.0,1.371094,103.949197
225,102.9,51.704,-29.5,1.371094,103.949197
226,104.1,51.704,-33.0,1.371094,103.949197
227,104.3,28.724,-34.0,1.371094,103.949197
228,104.9,51.704,-31.0,1.371094,103.949197
229,105.5,27.552,-31.0,1.371094,103.949197
230,105.7,51.704,-34.0,1.371094,103.949197
231,106.0,28.724,-23.0,1.371094,103.949197
232,106.2,51.704,-23.0,1.371094,103.949197
233,106.5,28.724,-31.0,1.371094,103.949197
234,106.7,51.704,-37.0,1.371094,103.949197
235,107.0,25.426,-31.0,1.371094,103.949197
236,107.9,28.724,-39.0,1.371094,103.949197
