,Frequency,MeanAmplitude,Lat,Lon,TransmitterDistance
121,87.08,-37.0,1.359603,103.843286,
122,87.085,-39.0,1.359603,103.843286,
123,87.09,-38.0,1.359603,103.843286,
124,87.095,-39.0,1.359603,103.843286,
125,87.1,-34.3333333333,1.359603,103.843286,
126,87.105,-38.0,1.359603,103.843286,
127,87.12,-37.0,1.359603,103.843286,
128,87.125,-35.5,1.359603,103.843286,
129,87.13,-37.0,1.359603,103.843286,
130,87.135,-39.0,1.359603,103.843286,
131,87.14,-39.0,1.359603,103.843286,
132,87.15,-36.5,1.359603,103.843286,
133,87.155,-39.0,1.359603,103.843286,
134,87.16,-40.0,1.359603,103.843286,
135,87.165,-40.0,1.359603,103.843286,
136,87.175,-38.0,1.359603,103.843286,
137,87.19,-38.0,1.359603,103.843286,
138,87.2,-34.1428571429,1.359603,103.843286,
139,87.205,-40.0,1.359603,103.843286,
140,87.22,-40.0,1.359603,103.843286,
141,87.225,-34.6666666667,1.359603,103.843286,
142,87.235,-36.0,1.359603,103.843286,
143,87.25,-38.5,1.359603,103.843286,
144,87.255,-36.0,1.359603,103.843286,
145,87.265,-40.0,1.359603,103.843286,
146,87.27,-40.0,1.359603,103.843286,
147,87.275,-37.5,1.359603,103.843286,
148,87.28,-38.0,1.359603,103.843286,
149,87.29,-38.0,1.359603,103.843286,
150,87.3,-35.8571428571,1.359603,103.843286,
151,87.305,-37.0,1.359603,103.843286,
152,87.32,-39.0,1.359603,103.843286,
153,87.325,-37.0,1.359603,103.843286,
154,87.33,-38.0,1.359603,103.843286,
155,87.335,-40.0,1.359603,103.843286,
156,87.345,-38.0,1.359603,103.843286,
157,87.35,-37.5,1.359603,103.843286,
158,87.355,-39.0,1.359603,103.843286,
159,87.37,-40.0,1.359603,103.843286,
160,87.375,-36.5,1.359603,103.843286,
161,87.385,-37.0,1.359603,103.843286,
162,87.39,-37.0,1.359603,103.843286,
163,87.4,-35.7142857143,1.359603,103.843286,
164,87.41,-40.0,1.359603,103.843286,
165,87.425,-36.3333333333,1.359603,103.843286,
166,87.435,-39.0,1.359603,103.843286,
167,87.44,-38.0,1.359603,103.843286,
168,87.45,-36.0,1.359603,103.843286,
169,87.455,-37.0,1.359603,103.843286,
170,87.465,-39.0,1.359603,103.843286,
171,87.47,-39.0,1.359603,103.843286,
172,87.475,-36.5,1.359603,103.843286,
173,87.48,-40.0,1.359603,103.843286,
174,87.5,-35.125,1.359603,103.843286,
175,87.7,-34.5,1.359603,103.843286,
176,87.9,-33.125,1.359603,103.843286,
177,88.1,-32.5,1.359603,103.843286,
178,88.2,-30.5,1.359603,103.843286,
179,88.4,-28.0,1.359603,103.843286,
180,88.5,-33.75,1.359603,103.843286,
181,88.6,-35.375,1.359603,103.843286,
182,88.7,-33.625,1.359603,103.843286,
183,88.8,-35.25,1.359603,103.843286,
184,89.0,-31.875,1.359603,103.843286,
185,89.1,-34.375,1.359603,103.843286,
186,89.2,-32.625,1.359603,103.843286,
187,89.3,-34.625,1.359603,103.843286,
188,89.4,-33.5,1.359603,103.843286,
189,89.5,-33.625,1.359603,103.843286,
190,89.6,-33.5,1.359603,103.843286,
191,89.8,-31.5,1.359603,103.843286,
192,89.9,-33.75,1.359603,103.843286,
193,90.2,-33.125,1.359603,103.843286,
194,90.3,-34.875,1.359603,103.843286,
195,90.4,-29.25,1.359603,103.843286,
196,90.6,-26.875,1.359603,103.843286,
197,90.7,-35.25,1.359603,103.843286,
198,90.8,-33.625,1.359603,103.843286,
199,91.0,-34.25,1.359603,103.843286,
200,91.1,-33.0,1.359603,103.843286,
201,91.2,-25.5,1.359603,103.843286,
202,91.4,-26.125,1.359603,103.843286,
203,91.5,-33.625,1.359603,103.843286,
204,91.6,-32.875,1.359603,103.843286,
205,91.8,-34.375,1.359603,103.843286,
206,91.9,-22.25,1.359603,103.843286,
207,92.1,-22.125,1.359603,103.843286,
208,92.2,-32.125,1.359603,103.843286,
209,92.3,-32.375,1.359603,103.843286,
210,92.5,-31.375,1.359603,103.843286,
211,92.6,-33.5,1.359603,103.843286,
212,92.7,-34.25,1.359603,103.843286,
213,92.9,-32.875,1.359603,103.843286,
214,93.0,-33.25,1.359603,103.843286,
215,93.1,-32.25,1.359603,103.843286,
216,93.2,-30.625,1.359603,103.843286,
217,93.4,-29.125,1.359603,103.843286,
218,93.5,-34.0,1.359603,103.843286,
219,93.6,-33.5,1.359603,103.843286,
220,93.7,-31.0,1.359603,103.843286,
221,93.9,-33.0,1.359603,103.843286,
222,94.0,-33.25,1.359603,103.843286,
223,94.1,-25.0,1.359603,103.843286,
224,94.3,-32.0,1.359603,103.843286,
225,94.4,-35.375,1.359603,103.843286,
226,94.5,-33.875,1.359603,103.843286,
227,94.7,-34.75,1.359603,103.843286,
228,94.8,-34.75,1.359603,103.843286,
229,94.9,-29.375,1.359603,103.843286,
230,95.1,-30.5,1.359603,103.843286,
231,95.2,-34.5,1.359603,103.843286,
232,95.3,-34.375,1.359603,103.843286,
233,95.5,-35.625,1.359603,103.843286,
234,95.6,-35.5,1.359603,103.843286,
235,95.7,-27.375,1.359603,103.843286,
236,95.9,-30.0,1.359603,103.843286,
237,96.0,-23.375,1.359603,103.843286,
238,96.1,-35.5,1.359603,103.843286,
239,96.2,-36.625,1.359603,103.843286,
240,96.4,-35.5,1.359603,103.843286,
241,96.5,-35.75,1.359603,103.843286,
