PERIOD,NODE3,LAT3,LON3,NODE2,LAT2,LON2,MA2,DIST2,NODE1,LAT1,LON1,MA1,DIST1,NODE4,LAT4,LON4,MA4,DIST4
1,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
2,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
3,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
4,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
5,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
6,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
7,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
8,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
9,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
10,BIS,1.359603,103.843286,YIS,1.423272,103.844975,1,7.084,STN,1.351944,103.765833,-1.25,8.619,CCK,1.385351,103.745053,-13,11.293
11,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
12,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
13,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
14,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
15,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
16,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
17,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
18,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
19,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
20,BIS,1.364013,103.844911,YIS,1.425059,103.849078,1.5,6.806,STN,1.351944,103.765833,-5.625,8.87,CCK,1.390096,103.745582,-14,11.42
21,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
22,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
23,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
24,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
25,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
26,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
27,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
28,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
29,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
30,BIS,1.371274,103.844609,YIS,1.424709,103.857244,2,6.107,STN,1.351944,103.765833,-7,9.02,CCK,1.40005,103.748157,-12,11.193
