ReceptionStart,ReceptionEnd,Frequency,Center,Description,Notes,Protocol,Service,Callsign,ShiftEnabled,Shift,FilterType,FilterBandwidth,SquelchEnabled,Squelch,CWShift,TimeoutSeconds,MinSignalStrength,ActualSignalStrength
2017-01-04 10:31:04,2017-01-04 10:31:06,87000000,87000000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-36,Cutoff
2017-01-04 10:31:07,2017-01-04 10:31:09,87125000,87125000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",32000,False,50,1000,1,-40,-28,Cutoff
2017-01-04 10:31:10,2017-01-04 10:31:12,87200000,87200000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",32000,False,50,1000,1,-40,-34,Cutoff
2017-01-04 10:31:13,2017-01-04 10:31:15,87225000,87225000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",32000,False,50,1000,1,-40,-34,Cutoff
2017-01-04 10:31:16,2017-01-04 10:31:18,87300000,87300000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-35,Cutoff
2017-01-04 10:31:20,2017-01-04 10:31:22,87500000,87500000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-31,Cutoff
2017-01-04 10:31:23,2017-01-04 10:31:25,87600000,87600000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-26,Cutoff
2017-01-04 10:31:26,2017-01-04 10:31:28,87700000,87700000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-37,Cutoff
2017-01-04 10:31:29,2017-01-04 10:31:31,87800000,87800000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-32,Cutoff
2017-01-04 10:31:33,2017-01-04 10:31:35,87900000,87900000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-40,Cutoff
2017-01-04 10:31:36,2017-01-04 10:31:38,88000000,88000000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-23,Cutoff
2017-01-04 10:31:39,2017-01-04 10:31:41,88100000,88100000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-17,Cutoff
2017-01-04 10:31:42,2017-01-04 10:31:44,88200000,88200000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-26,Cutoff
2017-01-04 10:31:44,2017-01-04 10:31:46,88300000,88300000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-27,Cutoff
2017-01-04 10:31:47,2017-01-04 10:31:49,88400000,88400000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-36,Cutoff
2017-01-04 10:31:50,2017-01-04 10:31:52,88500000,88500000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-38,Cutoff
2017-01-04 10:31:53,2017-01-04 10:31:55,88600000,88600000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-36,Cutoff
2017-01-04 10:31:56,2017-01-04 10:31:59,88800000,88800000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-34,Cutoff
2017-01-04 10:31:59,2017-01-04 10:32:02,88900000,88900000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,9,Cutoff
2017-01-04 10:32:02,2017-01-04 10:32:04,89000000,89000000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-22,Cutoff
2017-01-04 10:32:05,2017-01-04 10:32:08,89100000,89100000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-36,Cutoff
2017-01-04 10:32:08,2017-01-04 10:32:11,89200000,89200000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-37,Cutoff
2017-01-04 10:32:11,2017-01-04 10:32:14,89300000,89300000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-34,Cutoff
2017-01-04 10:32:14,2017-01-04 10:32:17,89400000,89400000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-28,Cutoff
2017-01-04 10:32:18,2017-01-04 10:32:20,89500000,89500000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-29,Cutoff
2017-01-04 10:32:21,2017-01-04 10:32:23,89600000,89600000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-24,Cutoff
2017-01-04 10:32:24,2017-01-04 10:32:27,89700000,89700000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-5,Cutoff
2017-01-04 10:32:27,2017-01-04 10:32:30,89800000,89800000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-30,Cutoff
2017-01-04 10:32:31,2017-01-04 10:32:33,89900000,89900000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-29,Cutoff
2017-01-04 10:32:34,2017-01-04 10:32:36,90000000,90000000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-29,Cutoff
2017-01-04 10:32:37,2017-01-04 10:32:39,90100000,90100000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-23,Cutoff
2017-01-04 10:32:40,2017-01-04 10:32:42,90200000,90200000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-37,Cutoff
2017-01-04 10:32:43,2017-01-04 10:32:46,90300000,90300000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-28,Cutoff
2017-01-04 10:32:47,2017-01-04 10:32:49,90400000,90400000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-22,Cutoff
2017-01-04 10:32:50,2017-01-04 10:32:52,90500000,90500000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-3,Cutoff
2017-01-04 10:32:53,2017-01-04 10:32:55,90600000,90600000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-23,Cutoff
2017-01-04 10:32:56,2017-01-04 10:32:59,90700000,90700000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-30,Cutoff
2017-01-04 10:33:00,2017-01-04 10:33:02,90800000,90800000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-22,Cutoff
2017-01-04 10:33:03,2017-01-04 10:33:05,90900000,90900000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-28,Cutoff
2017-01-04 10:33:06,2017-01-04 10:33:09,91000000,91000000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-21,Cutoff
2017-01-04 10:33:09,2017-01-04 10:33:12,91100000,91100000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-20,Cutoff
2017-01-04 10:33:12,2017-01-04 10:33:14,91200000,91200000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-25,Cutoff
2017-01-04 10:33:15,2017-01-04 10:33:17,91300000,91300000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-25,Cutoff
2017-01-04 10:33:18,2017-01-04 10:33:20,91400000,91400000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-25,Cutoff
2017-01-04 10:33:21,2017-01-04 10:33:24,91500000,91500000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-19,Cutoff
2017-01-04 10:33:25,2017-01-04 10:33:27,91600000,91600000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-19,Cutoff
2017-01-04 10:33:28,2017-01-04 10:33:30,91700000,91700000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-25,Cutoff
2017-01-04 10:33:31,2017-01-04 10:33:34,91800000,91800000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-29,Cutoff
2017-01-04 10:33:34,2017-01-04 10:33:37,91900000,91900000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-19,Cutoff
2017-01-04 10:33:38,2017-01-04 10:33:40,92000000,92000000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-19,Cutoff
2017-01-04 10:33:41,2017-01-04 10:33:43,92100000,92100000,"Found during frequency scan.","","Unidentified","Unidentified","",False,0,"BlackmanHarris4",100000,False,50,1000,1,-40,-26,Cutoff
